1,2000-01-01,2000年01月01日,7,01,January,1,2000
2,2000-01-02,2000年01月02日,1,01,January,1,2000
3,2000-01-03,2000年01月03日,2,01,January,1,2000
4,2000-01-04,2000年01月04日,3,01,January,1,2000
5,2000-01-05,2000年01月05日,4,01,January,1,2000
6,2000-01-06,2000年01月06日,5,01,January,1,2000
7,2000-01-07,2000年01月07日,6,01,January,1,2000
8,2000-01-08,2000年01月08日,7,01,January,1,2000
9,2000-01-09,2000年01月09日,1,01,January,1,2000
10,2000-01-10,2000年01月10日,2,01,January,1,2000
11,2000-01-11,2000年01月11日,3,01,January,1,2000
12,2000-01-12,2000年01月12日,4,01,January,1,2000
13,2000-01-13,2000年01月13日,5,01,January,1,2000
14,2000-01-14,2000年01月14日,6,01,January,1,2000

Excel File
  1 ,            , =B1                 , =WEEKDAY(B1,1) ,  =B1 ,   =B1 , =INT((MONTH(B1)+2)/3) , =B1
常规 , yyyy-mm-dd , yyyy"年"mm"月"dd"日", 常规           ,   mm , mmmm , 0                    , yyyy

11319,2030-12-27,2030年12月27日,6,12,December,4 ,2030
11320,2030-12-28,2030年12月28日,7,12,December,4 ,2030
11321,2030-12-29,2030年12月29日,1,12,December,4 ,2030
11322,2030-12-30,2030年12月30日,2,12,December,4 ,2030
11323,2030-12-31,2030年12月31日,3,12,December,4 ,2030